phd,subqualifier,avermrval_0,avermrval_1,procid,drivetemp
0,FeatureTDBOend,376,393,9000,34
10,FeatureTDBOend,383,443,9000,34
6,FeatureTDBOend,430,381,9000,34
4,FeatureTDBOend,432,389,9000,34
2,FeatureTDBOend,428,364,9000,34
8,FeatureTDBOend,311,357,9000,34
3,FeatureTDBOend,396,506,9000,34
7,FeatureTDBOend,417,366,9000,34
16,FeatureTDBOend,329,353,9000,34
17,FeatureTDBOend,424,441,9000,34
12,FeatureTDBOend,428,400,9000,34
5,FeatureTDBOend,325,483,9000,34
15,FeatureTDBOend,441,446,9000,34
11,FeatureTDBOend,370,413,9000,34
14,FeatureTDBOend,412,392,9000,34
13,FeatureTDBOend,421,405,9000,34
1,FeatureTDBOend,374,399,9000,34
9,FeatureTDBOend,345,370,9000,34
15,PostTdboCa,447,450,6800,35
13,PostPackRd,418,401,6800,36
14,PostTdboCa,410,390,6800,35
2,PostPackRd,428,365,6800,36
1,PostTdboCa,376,395,6800,35
13,PostTdboCa,422,403,6800,35
10,PostPackRd,380,442,6800,36
17,PostPackRd,422,437,6800,36
16,PostPackRd,327,352,6800,36
8,FinalRefCa,311,358,6800,36
0,FinalRefCa,378,394,6800,36
9,FinalRefCa,347,370,6800,36
12,FinalRefCa,423,398,6800,36
10,PostTdboCa,381,443,6800,35
9,PostTdboCa,345,371,6800,35
14,PostPackRd,408,389,6800,36
3,PostPackRd,398,507,6800,36
4,PostTdboCa,434,390,6800,35
15,PostPackRd,438,446,6800,36
11,PostTdboCa,358,412,6800,35
12,PostTdboCa,425,400,6800,35
4,FinalRefCa,436,391,6800,36
1,FinalRefCa,377,395,6800,36
5,PostPackRd,324,481,6800,36
8,PostTdboCa,309,357,6800,35
4,PostPackRd,431,389,6800,36
0,PostTdboCa,377,394,6800,35
16,PostTdboCa,329,354,6800,35
7,PostPackRd,415,363,6800,36
6,FinalRefCa,427,382,6800,36
1,PostPackRd,374,400,6800,36
15,FinalRefCa,450,449,6800,36
2,FinalRefCa,424,365,6800,36
9,PostPackRd,347,371,6800,36
2,PostTdboCa,428,364,6800,35
10,FinalRefCa,380,443,6800,36
11,FinalRefCa,359,413,6800,36
3,PostTdboCa,407,507,6800,35
7,FinalRefCa,415,365,6800,36
6,PostTdboCa,427,383,6800,35
17,PostTdboCa,420,442,6800,35
3,FinalRefCa,402,506,6800,36
14,FinalRefCa,412,390,6800,36
11,PostPackRd,358,411,6800,36
17,FinalRefCa,421,442,6800,36
13,FinalRefCa,422,403,6800,36
5,PostTdboCa,326,484,6800,35
6,PostPackRd,426,379,6800,36
7,PostTdboCa,417,368,6800,35
8,PostPackRd,308,355,6800,36
5,FinalRefCa,326,483,6800,36
12,PostPackRd,422,398,6800,36
0,PostPackRd,381,394,6800,36
16,FinalRefCa,327,354,6800,36
0,RefCa,378,400,6600,63
5,PostTdboWrCa,327,484,6600,63
11,PostTdboSlpMRamp,361,415,6600,63
2,PostDsatCa,432,370,6600,63
12,PostTdboSlpMRamp,429,405,6600,63
14,PostTdboWrCa,413,395,6600,63
1,PostDsatCa,378,402,6600,63
9,PostRroCa,352,374,6600,63
11,PostDsatCa,363,417,6600,63
3,PostTdboWrCa,400,503,6600,63
16,PostTdboWrCa,333,360,6600,63
0,PostPPQCa,379,401,6600,63
5,PostCsoCa,328,487,6600,63
14,PostTdboRdCa,414,394,6600,63
12,PostPPQCa,426,402,6600,63
10,PostTdboWrCa,384,446,6600,63
15,PostTdboWrCa,451,449,6600,63
9,PostCsoCa,354,373,6600,63
2,PostRroCa,432,369,6600,63
17,PostPPQCa,427,441,6600,63
0,PostCsoCa,381,399,6600,63
8,PostTdboRdCa,314,361,6600,63
13,PostTdboRdCa,423,406,6600,63
12,PostDsatCa,429,401,6600,63
16,PostTdboWrCa,337,361,6600,63
10,PostTdboRdCa,385,446,6600,63
8,RefCa,313,360,6600,63
12,RefCa,430,405,6600,63
5,PostRroCa,327,484,6600,63
16,PostDsatCa,333,359,6600,63
