phd,subqualifier,avermrval_0,avermrval_1,procid,drivetemp
0,FeatureTDBOend,376,393,9000,34
0,FinalRefCa,378,394,6800,36
0,PostTdboCa,377,394,6800,35
0,PostPackRd,381,394,6800,36
0,RefCa,378,400,6600,63
0,PostPPQCa,379,401,6600,63
0,PostCsoCa,381,399,6600,63
0,PostDsatCa,379,400,6600,63
0,PostTdboWrCa,379,396,6600,63
0,PostTdboWrCa,379,401,6600,63
0,PostRroCa,379,402,6600,63
0,PostTdboSlpMRamp,381,401,6600,63
0,PostTdboRdCa,378,398,6600,63
0,PostTdboRdCa,378,400,6600,63
0,StartFTRamp,381,401,6400,35
0,RmrTstZnCa,376,395,6400,35
